Experiment_name, System, Variable, Value, Time
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            0.0,            0.0
Water Level Control,            S7-1500,            CV_PumpCtrl_out,            0.0,            0.0
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            0.0,            0.2
Water Level Control,            S7-1500,            CV_PumpCtrl_out,            0.0,            0.2
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            0.0,            0.4
Water Level Control,            S7-1500,            CV_PumpCtrl_out,            15.16952133178711,            0.4
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            0.37542986796493416,            0.6000000000000001
Water Level Control,            S7-1500,            CV_PumpCtrl_out,            15.568833351135254,            0.6000000000000001
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            1.1168124464192135,            0.8
Water Level Control,            S7-1500,            CV_PumpCtrl_out,            15.568833351135254,            0.8
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            1.8609485179956005,            1.0
Water Level Control,            S7-1500,            CV_PumpCtrl_out,            15.345078468322754,            1.0
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            2.6095212908641776,            1.2
Water Level Control,            S7-1500,            CV_PumpCtrl_out,            15.042779922485352,            1.2
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            3.340316425750792,            1.4
Water Level Control,            S7-1500,            CV_PumpCtrl_out,            14.658967971801758,            1.4
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            4.044429574844922,            1.5999999999999999
Water Level Control,            S7-1500,            CV_PumpCtrl_out,            14.228743553161621,            1.5999999999999999
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            4.72473996597108,            1.7999999999999998
Water Level Control,            S7-1500,            CV_PumpCtrl_out,            13.768131256103516,            1.7999999999999998
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            5.379701548206508,            1.9999999999999998
Water Level Control,            S7-1500,            CV_PumpCtrl_out,            13.275192260742188,            1.9999999999999998
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            6.008053179692593,            2.1999999999999997
Water Level Control,            S7-1500,            CV_PumpCtrl_out,            12.754779815673828,            2.1999999999999997
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            6.608560803136221,            2.4
Water Level Control,            S7-1500,            CV_PumpCtrl_out,            12.211446762084961,            2.4
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            7.180192321574324,            2.6
Water Level Control,            S7-1500,            CV_PumpCtrl_out,            11.64982795715332,            2.6
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            7.722120125804886,            2.8000000000000003
Water Level Control,            S7-1500,            CV_PumpCtrl_out,            11.074362754821777,            2.8000000000000003
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            8.233723619017185,            3.0000000000000004
Water Level Control,            S7-1500,            CV_PumpCtrl_out,            10.489258766174316,            3.0000000000000004
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            8.714582281374078,            3.2000000000000006
Water Level Control,            S7-1500,            CV_PumpCtrl_out,            9.898481369018555,            3.2000000000000006
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            9.164466521463677,            3.400000000000001
Water Level Control,            S7-1500,            CV_PumpCtrl_out,            9.305734634399414,            3.400000000000001
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            9.583327084591616,            3.600000000000001
Water Level Control,            S7-1500,            CV_PumpCtrl_out,            8.714462280273438,            3.600000000000001
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            9.97128352031883,            3.800000000000001
Water Level Control,            S7-1500,            CV_PumpCtrl_out,            8.127838134765625,            3.800000000000001
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            10.328612088060177,            4.000000000000001
Water Level Control,            S7-1500,            CV_PumpCtrl_out,            7.5487751960754395,            4.000000000000001
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            10.655733398929748,            4.200000000000001
Water Level Control,            S7-1500,            CV_PumpCtrl_out,            6.979921340942383,            4.200000000000001
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            10.953199989874744,            4.400000000000001
Water Level Control,            S7-1500,            CV_PumpCtrl_out,            6.423666954040527,            4.400000000000001
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            11.221683841350556,            4.600000000000001
Water Level Control,            S7-1500,            CV_PumpCtrl_out,            5.882145881652832,            4.600000000000001
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            11.461964002982679,            4.800000000000002
Water Level Control,            S7-1500,            CV_PumpCtrl_out,            5.357252597808838,            4.800000000000002
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            11.674914590486079,            5.000000000000002
Water Level Control,            S7-1500,            CV_PumpCtrl_out,            4.850636005401611,            5.000000000000002
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            11.861492992556334,            5.200000000000002
Water Level Control,            S7-1500,            CV_PumpCtrl_out,            4.363718509674072,            5.200000000000002
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            12.022728350449592,            5.400000000000002
Water Level Control,            S7-1500,            CV_PumpCtrl_out,            3.8977012634277344,            5.400000000000002
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            12.159710606138928,            5.600000000000002
Water Level Control,            S7-1500,            CV_PumpCtrl_out,            3.45357608795166,            5.600000000000002
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            12.273579948681606,            5.8000000000000025
Water Level Control,            S7-1500,            CV_PumpCtrl_out,            3.032130718231201,            5.8000000000000025
